Museum_ID,Gallery_No,Gallery_Name,Floor
4,Outdoor Display / Helicopter Pad,Outdoor Display / Helicopter Pad,
6,Gallery 1 — Ancient Currency,Gallery 1 — Ancient Currency,
6,Gallery 1 — Bangladesh Currency,Gallery 1 — Bangladesh Currency,
6,Gallery 1 — Coin Production,Gallery 1 — Coin Production,
6,Gallery 1 — Colonial Currency,Gallery 1 — Colonial Currency,
6,Gallery 1 — Medieval Currency,Gallery 1 — Medieval Currency,
6,Gallery 1 — Pakistan Period Currency,Gallery 1 — Pakistan Period Currency,
6,Gallery 2 — World Currencies,Gallery 2 — World Currencies,
6,Museum Entrance Hall,Museum Entrance Hall,
6,Technology & Interactive Gallery,Technology & Interactive Gallery,
7,Air Force Gallery,Air Force Gallery,
7,Army Gallery,Army Gallery,
7,Army Gallery / Outdoor,Army Gallery / Outdoor,
7,Army Gallery / UN & CHT Gallery,Army Gallery / UN & CHT Gallery,
7,Army Gallery – Arms Gallery,Army Gallery – Arms Gallery,
7,Army Gallery – Interactive Zone,Army Gallery – Interactive Zone,
7,Army Gallery – Kids Corner,Army Gallery – Kids Corner,
7,Army Gallery – Liberation War Arms,Army Gallery – Liberation War Arms,
7,Army Gallery – Women Empowerment,Army Gallery – Women Empowerment,
7,Front Plaza,Front Plaza,
7,Navy Gallery,Navy Gallery,
7,Navy Gallery / Outdoor,Navy Gallery / Outdoor,
7,Outdoor / Front Plaza,Outdoor / Front Plaza,
7,Outdoor Exhibits,Outdoor Exhibits,
7,Toshakhana Jadughor,Toshakhana Jadughor,
7,UN & CHT Gallery,UN & CHT Gallery,
7,UN & CHT Gallery – CHT Corner,UN & CHT Gallery – CHT Corner,
7,Victory Arena,Victory Arena,
8,: Gallery 38 — Bangladesh's Struggle for Independence,: Gallery 38 — Bangladesh's Struggle for Independence,
8,Archaeological Artifacts Gallery,Archaeological Artifacts Gallery,
8,Architectural Artifacts Gallery,Architectural Artifacts Gallery,
8,Architecture Gallery,Architecture Gallery,
8,Arms Gallery,Arms Gallery,
8,Arms and Weapons Gallery,Arms and Weapons Gallery,
8,Birds Gallery,Birds Gallery,
8,Boats of Bangladesh Gallery,Boats of Bangladesh Gallery,
8,Chinese Gallery (3rd Floor),Chinese Gallery (3rd Floor),
8,"Coins, Medals and Ornaments Gallery","Coins, Medals and Ornaments Gallery",
8,Contemporary Art Gallery 1,Contemporary Art Gallery 1,
8,Contemporary Art Gallery 1 & 2,Contemporary Art Gallery 1 & 2,
8,Contemporary Art and World Civilization,Contemporary Art and World Civilization,
8,Decorative Arts or Ethnology section,Decorative Arts or Ethnology section,
8,Dolls Gallery,Dolls Gallery,
8,Elephant Gallery,Elephant Gallery,
8,Embroidered Quilts Gallery,Embroidered Quilts Gallery,
8,Epigraphy Gallery,Epigraphy Gallery,
8,Eternal Bangladesh / National Heroes Gallery,Eternal Bangladesh / National Heroes Gallery,
8,Ethnology and Folk Heritage section,Ethnology and Folk Heritage section,
8,Fine Arts / Literary Heritage section,Fine Arts / Literary Heritage section,
8,Folk Art Corners,Folk Art Corners,
8,Gallery 38 — Bangladesh's Struggle for Independence: Bengali Bangladesh Liberation War,Gallery 38 — Bangladesh's Struggle for Independence: Bengali Bangladesh Liberation War,
8,"Gallery 5,Pre-Islamic Art and Sculpture Gallery","Gallery 5,Pre-Islamic Art and Sculpture Gallery",
8,Gallery 6,Gallery 6,
8,Gallery 6( History and Classical Art),Gallery 6( History and Classical Art),
8,Gallery 7,Gallery 7,
8,Ground Floor Entrance,Ground Floor Entrance,
8,History and Classical Art,History and Classical Art,
8,History and Classical Art Gallery,History and Classical Art Gallery,
8,Inscriptions / Manuscripts Gallery,Inscriptions / Manuscripts Gallery,
8,Inscriptions Gallery,Inscriptions Gallery,
8,Insects / Plants Gallery,Insects / Plants Gallery,
8,Insects Gallery,Insects Gallery,
8,Iranian Gallery (3rd Floor),Iranian Gallery (3rd Floor),
8,Islamic Art and Manuscript Gallery,Islamic Art and Manuscript Gallery,
8,Islamic History / Medieval Bengal section,Islamic History / Medieval Bengal section,
8,Ivory Works Gallery,Ivory Works Gallery,
8,Korean Gallery (3rd Floor),Korean Gallery (3rd Floor),
8,Life in Bangladesh Gallery,Life in Bangladesh Gallery,
8,Mammals / Marine Life Gallery,Mammals / Marine Life Gallery,
8,Mammals Gallery,Mammals Gallery,
8,Manuscripts Gallery,Manuscripts Gallery,
8,Manuscripts and Documents Gallery,Manuscripts and Documents Gallery,
8,Marine Life Gallery,Marine Life Gallery,
8,Martyred Intellectuals / Language Movement Gallery,Martyred Intellectuals / Language Movement Gallery,
8,Martyred Intellectuals Gallery,Martyred Intellectuals Gallery,
8,Metal Works Gallery,Metal Works Gallery,
8,Modern Gallery,Modern Gallery,
8,Musical Instruments Gallery,Musical Instruments Gallery,
8,Natural History Gallery,Natural History Gallery,
8,Natural History or Economic Botany section,Natural History or Economic Botany section,
8,Natural History or Ethnology section,Natural History or Ethnology section,
8,Numismatics Gallery,Numismatics Gallery,
8,Plants Gallery,Plants Gallery,
8,Porcelain and Glassware Gallery,Porcelain and Glassware Gallery,
8,Portraits of National Heroes Gallery,Portraits of National Heroes Gallery,
8,Portraits of World Personalities Gallery,Portraits of World Personalities Gallery,
8,Potteries Gallery,Potteries Gallery,
8,Pre-Islamic Art and Sculpture Gallery,Pre-Islamic Art and Sculpture Gallery,
8,Reptiles Gallery,Reptiles Gallery,
8,Rocks and Minerals,Rocks and Minerals,
8,Rocks and Minerals Gallery,Rocks and Minerals Gallery,
8,Sculpture Gallery 1,Sculpture Gallery 1,
8,Sculpture Gallery 1 & 2,Sculpture Gallery 1 & 2,
8,Shilpacharya Zainul Abedin Gallery,Shilpacharya Zainul Abedin Gallery,
8,Special Collections / World Civilization Gallery,Special Collections / World Civilization Gallery,
8,Sundarbans Gallery,Sundarbans Gallery,
8,Swiss Gallery (3rd Floor),Swiss Gallery (3rd Floor),
8,Textiles and Costumes Gallery,Textiles and Costumes Gallery,
8,"Textiles, Costumes and Ornaments Gallery","Textiles, Costumes and Ornaments Gallery",
8,Traditional and Miniature Paintings Gallery,Traditional and Miniature Paintings Gallery,
8,Tribes and Folk Art Gallery,Tribes and Folk Art Gallery,
8,Tribes of Bangladesh Gallery,Tribes of Bangladesh Gallery,
8,Tribes of Bangladesh Gallery 1 & 2,Tribes of Bangladesh Gallery 1 & 2,
8,War of Liberation / Language Movement Gallery,War of Liberation / Language Movement Gallery,
8,War of Liberation Gallery,War of Liberation Gallery,
8,War of Liberation Gallery 1,War of Liberation Gallery 1,
8,War of Liberation Gallery 1 & 2,War of Liberation Gallery 1 & 2,
8,Wood Carvings Gallery 1 & 2,Wood Carvings Gallery 1 & 2,
8,World Art Corners,World Art Corners,
8,World Art Gallery / Special Display,World Art Gallery / Special Display,
8,World Art Gallery 1 & 2,World Art Gallery 1 & 2,
9,Gallery 1 — Geography & Natural Environment,Gallery 1 — Geography & Natural Environment,
9,Gallery 2 — Prominent Personalities,Gallery 2 — Prominent Personalities,
9,Gallery 3 & 6 — Archaeological & Cultural,Gallery 3 & 6 — Archaeological & Cultural,
9,Gallery 3 — Archaeological Artifacts,Gallery 3 — Archaeological Artifacts,
9,Gallery 6 — Cultural Heritage,Gallery 6 — Cultural Heritage,
9,Gallery 7 — Historical Traditions,Gallery 7 — Historical Traditions,
9,Gallery 9 — Collectorate Building History,Gallery 9 — Collectorate Building History,
10,Liberation War Gallery,Liberation War Gallery,
10,Library Section,Library Section,
10,Local Heritage Gallery,Local Heritage Gallery,
10,Main Memorial Gallery,Main Memorial Gallery,
10,Military Heritage Gallery,Military Heritage Gallery,
11,Architectural Heritage Gallery,Architectural Heritage Gallery,
11,Art and Sculpture Gallery,Art and Sculpture Gallery,
11,Heritage Arms Gallery,Heritage Arms Gallery,
11,Heritage Costume Gallery,Heritage Costume Gallery,
11,Heritage Interiors Gallery,Heritage Interiors Gallery,
11,Library Heritage Gallery,Library Heritage Gallery,
11,Main Memorial Gallery,Main Memorial Gallery,
11,Memorial Grounds,Memorial Grounds,
11,Numismatic Gallery,Numismatic Gallery,
12,Central,Central,
12,Ground Floor,Ground Floor,
12,Library / Auditorium,Library / Auditorium,
12,Museum Gallery,Museum Gallery,
12,Second Floor,Second Floor,
13,Library & Research Section,Library & Research Section,
13,Museum Gallery — Diverse Ethnic Communities,Museum Gallery — Diverse Ethnic Communities,
13,Museum Gallery — Everyday Life,Museum Gallery — Everyday Life,
13,Museum Gallery — Garo Cultural Exhibits,Museum Gallery — Garo Cultural Exhibits,
13,Museum Gallery — Hajong Cultural Exhibits,Museum Gallery — Hajong Cultural Exhibits,
13,Museum Gallery — Koch Cultural Exhibits,Museum Gallery — Koch Cultural Exhibits,
14,Conservation Gallery,Conservation Gallery,
14,Cultural Heritage Gallery,Cultural Heritage Gallery,
14,Hilsa Heritage Gallery,Hilsa Heritage Gallery,
14,Natural Environment Gallery,Natural Environment Gallery,
14,Research Heritage Gallery,Research Heritage Gallery,
14,River Fish Gallery,River Fish Gallery,
14,Traditional Fishing Gallery,Traditional Fishing Gallery,
15,Library & Museum Section — Rare Periodicals,Library & Museum Section — Rare Periodicals,
15,Library Section — Comparative Religion,Library Section — Comparative Religion,
15,Manuscript Section,Manuscript Section,
15,Museum Section — Archaeology,Museum Section — Archaeology,
15,Museum Section — Institutional History,Museum Section — Institutional History,
15,Museum Section — Numismatics,Museum Section — Numismatics,
16,Cultural Heritage Gallery,Cultural Heritage Gallery,
16,Estuarine Fish Gallery,Estuarine Fish Gallery,
16,Marine Conservation Gallery,Marine Conservation Gallery,
16,Marine Fishing Heritage Gallery,Marine Fishing Heritage Gallery,
16,Marine Giants Gallery,Marine Giants Gallery,
16,Marine Species Gallery,Marine Species Gallery,
16,Research Heritage Gallery,Research Heritage Gallery,
16,Traditional Fishing Gallery,Traditional Fishing Gallery,
17,Children's Heritage Gallery,Children's Heritage Gallery,
17,Cultural Heritage Section,Cultural Heritage Section,
17,Educational Heritage Gallery,Educational Heritage Gallery,
17,Folk Art Gallery,Folk Art Gallery,
17,Heritage Craft Gallery,Heritage Craft Gallery,
17,Liberation and Language Heritage Section,Liberation and Language Heritage Section,
17,Literary Heritage Section,Literary Heritage Section,
17,Music and Performance Gallery,Music and Performance Gallery,
17,Natural History and Culture Section,Natural History and Culture Section,
17,Urban Heritage Gallery,Urban Heritage Gallery,
19,Archaeological Gallery,Archaeological Gallery,
19,Architectural Heritage Gallery,Architectural Heritage Gallery,
19,Buddhist Heritage Gallery,Buddhist Heritage Gallery,
19,Coin Gallery,Coin Gallery,
19,Epigraphy Gallery,Epigraphy Gallery,
19,Liberation War Gallery,Liberation War Gallery,
19,Sculpture Gallery,Sculpture Gallery,
20,Bengali Folk Gallery (added 1996),Bengali Folk Gallery (added 1996),
20,Central Hall,Central Hall,
20,Chittagong Hill Tracts Gallery,Chittagong Hill Tracts Gallery,
20,International Ethnic Gallery,International Ethnic Gallery,
20,Mymensingh Region Gallery,Mymensingh Region Gallery,
20,Rajshahi-Dinajpur Region Gallery,Rajshahi-Dinajpur Region Gallery,
20,Sylhet Region Gallery,Sylhet Region Gallery,
22,Folk Art Gallery,Folk Art Gallery,
22,Folk Music Gallery,Folk Music Gallery,
22,Language Movement Museum Gallery,Language Movement Museum Gallery,
22,Writers' Museum Gallery,Writers' Museum Gallery,
23,Archaeological Gallery,Archaeological Gallery,
23,Coin Gallery,Coin Gallery,
23,Cultural Heritage Gallery,Cultural Heritage Gallery,
23,Everyday Life Gallery,Everyday Life Gallery,
23,Heritage Documentation Gallery,Heritage Documentation Gallery,
23,Liberation War Gallery,Liberation War Gallery,
23,Notable Personalities Gallery,Notable Personalities Gallery,
24,Archaeological Gallery,Archaeological Gallery,
24,Architecture Gallery,Architecture Gallery,
24,Cultural Heritage Gallery,Cultural Heritage Gallery,
24,Estate Life Gallery,Estate Life Gallery,
24,Estate Records Gallery,Estate Records Gallery,
24,Heritage Documentation Gallery,Heritage Documentation Gallery,
24,Liberation War Gallery,Liberation War Gallery,
25,Editorial Heritage Gallery,Editorial Heritage Gallery,
25,Kushtia Heritage Gallery,Kushtia Heritage Gallery,
25,Literary Heritage Gallery,Literary Heritage Gallery,
25,Main Memorial Gallery,Main Memorial Gallery,
25,Notable Connections Gallery,Notable Connections Gallery,
25,Social Reform Gallery,Social Reform Gallery,
26,Archaeological Gallery,Archaeological Gallery,
26,Baul Heritage Gallery,Baul Heritage Gallery,
26,Cultural Heritage Gallery,Cultural Heritage Gallery,
26,Everyday Life Gallery,Everyday Life Gallery,
26,Lalon Heritage Gallery,Lalon Heritage Gallery,
26,Liberation War Gallery,Liberation War Gallery,
26,Literary Heritage Gallery,Literary Heritage Gallery,
27,Archaeological Gallery,Archaeological Gallery,
27,Coin Gallery,Coin Gallery,
27,Everyday Life Gallery,Everyday Life Gallery,
27,Islamic Heritage Gallery,Islamic Heritage Gallery,
27,Liberation War Gallery,Liberation War Gallery,
27,Sculpture Gallery,Sculpture Gallery,
27,Sultanate Heritage Gallery,Sultanate Heritage Gallery,
27,Sundarbans Gallery (dedicated gallery),Sundarbans Gallery (dedicated gallery),
28,Archaeological Gallery,Archaeological Gallery,
28,Cultural Heritage Gallery,Cultural Heritage Gallery,
28,Haor Heritage Gallery,Haor Heritage Gallery,
28,Heritage Documentation Gallery,Heritage Documentation Gallery,
28,Liberation War Gallery,Liberation War Gallery,
28,Notable Personalities Gallery,Notable Personalities Gallery,
29,Architecture Heritage Gallery,Architecture Heritage Gallery,
29,Diwan-i-Aam Museum Gallery,Diwan-i-Aam Museum Gallery,
29,Fort History Gallery,Fort History Gallery,
30,Galleries 4–6 — Personal Histories,Galleries 4–6 — Personal Histories,
30,Gallery 1 — Heritage and Colonial Resistance,Gallery 1 — Heritage and Colonial Resistance,
30,Gallery 3 — Genocide and Resistance,Gallery 3 — Genocide and Resistance,
30,Gallery 3 — Refugee Crisis,Gallery 3 — Refugee Crisis,
30,Gallery 3 — Resistance and Declaration,Gallery 3 — Resistance and Declaration,
30,Gallery 6 — Victory,Gallery 6 — Victory,
30,Gallery of Heroes,Gallery of Heroes,
30,Library and Study Center,Library and Study Center,
30,Museum Entrance,Museum Entrance,
30,Resistance and Combat Gallery,Resistance and Combat Gallery,
31,Folk Craft Gallery,Folk Craft Gallery,
31,Folk Culture Gallery,Folk Culture Gallery,
31,Folk Performance Gallery,Folk Performance Gallery,
31,Folk Textile Gallery,Folk Textile Gallery,
31,Rural Life Gallery,Rural Life Gallery,
31,Urban Folk Art Gallery,Urban Folk Art Gallery,
34,Entrance Hall,Entrance Hall,
34,Main Gallery,Main Gallery,
38,Biology Gallery,Biology Gallery,
38,Fun Science Gallery,Fun Science Gallery,
38,Physics Gallery,Physics Gallery,
38,Space Science Gallery,Space Science Gallery,
38,Technology Gallery,Technology Gallery,
55,13,13,
55,2,2,
55,3,3,
55,4,4,
55,5,5,
55,6,6,
55,7,7,
55,in Store,in Store,
61,Gallery I,Gallery I,
61,Gallery II,Gallery II,
61,Gallery III,Gallery III,
61,Gallery III / Store,Gallery III / Store,
61,Gallery IV,Gallery IV,
61,"In Situ — Temple Wall, Kotbari","In Situ — Temple Wall, Kotbari",
61,Mainamati Museum Store,Mainamati Museum Store,
61,"National Museum Display, Dhaka","National Museum Display, Dhaka",
61,Paharpur Museum Store,Paharpur Museum Store,
61,Store / In Situ,Store / In Situ,
63,Administrative Heritage Gallery,Administrative Heritage Gallery,
63,Architecture & Heritage Gallery,Architecture & Heritage Gallery,
63,Military & Security Gallery,Military & Security Gallery,
63,Religious Heritage Gallery,Religious Heritage Gallery,
63,Zamindari Furniture Gallery,Zamindari Furniture Gallery,
63,Zamindari Life Gallery,Zamindari Life Gallery,
62,Coin Collection,Coin Collection,
62,Stone Sculpture Collection,Stone Sculpture Collection,
