Dimension_ID,Length,Width,Height
223,86 cm,43.2 cm,
224,71.1 cm,38.1 cm,
225,63.5 cm,34.3 cm,
226,83.8 cm,83.8 cm,
227,76.2 cm,38.1 cm,
228,62.2 cm,33 cm,
229,61 cm,33 cm,
230,33 cm,20.3 cm,
231,76.2 cm,35.6 cm,
232,50.8 cm,27.9 cm,
233,78.7 cm,38.1 cm,
234,83.8 cm,43.2 cm,
235,83.8 cm,55.9 cm,
236,71.1 cm,35.6 cm,
237,55.9 cm,33 cm,
238,83.8 cm,45.7 cm,
239,76.2 cm,40.6 cm,
240,88.9 cm,43.2 cm,
241,83.8 cm,50.8 cm,
242,88.9 cm,50.8 cm,
243,91.4 cm,45.7 cm,
244,78.7 cm,35.6 cm,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,55 cm
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,60,45 cm,
269,,,
270,,,
271,150,120 cm,
272,200,100 cm,
273,60,45 cm,
274,,,
275,2,1 m,
276,,,
277,160,80 cm,75 cm
278,,,
279,60,45 cm,
280,,,
281,100,80,90 cm
282,,,
283,,,35 cm
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,60,45 cm,
291,,,
292,15,10 cm,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,40,30 cm,
305,,,
306,,,
307,,,
308,,,
309,,,
310,120,90 cm,
311,59cm,38cm,
312,76cm,49cm,
313,75cm,38.5cm,
314,40cm,20.7cm,
315,69cm,30.9cm,
316,86cm,35.6cm,
317,85.5cm,35cm,
318,53.3cm,21.5cm,
319,57cm,24.5cm,
320,49cm,20.4cm,
321,67.6cm,26.8cm,
322,55.6cm,23.3cm,
323,83.1cm,34cm,
324,36.5cm,32cm,
325,63.5cm,38cm,
326,178.3cm,81cm,
327,81.5cm,34.4cm,
328,36.83cm,12.7cm etc,
329,92cm,57.6cm,
330,54cm,26cm,
331,55cm,15cm,
332,17.6cm,14cm,
333,,,76cm
334,,,55cm
335,67cm,32cm,
336,46cm,23cm,
337,58cm,24.8cm,
338,40cm,22.5cm,
339,59cm,28cm,
340,62cm,26cm,
341,25cm,12cm,
342,33cm,18cm,
343,82.5cm,49cm,
344,63cm,31cm,
345,75cm,37cm,
346,27cm,66cm,
347,35cm,17.5cm,
348,53cm,29cm,
349,49cm,29cm,
350,32cm,10.5cm,
351,26.5cm,16.5cm,
352,63cm,28cm,
353,19cm,11.5cm,
354,21cm,11cm,
355,32.5cm,17.5cm,
356,26cm,72cm,
357,46cm,26cm,
358,40cm,30cm,
359,26.5cm,18.5cm,
360,41cm,17.5cm,
361,15.3cm,10.8cm,
362,22cm,14cm,
363,2.79 cm,,
364,2.79 cm,,
365,2.665 cm,,
366,2.765 cm,,
367,2.71 cm,,
368,2.7 cm,,
369,2.845 cm,,
370,2.74 cm,,
371,2.755 cm,,
372,2.76 cm,,
373,2.715 cm,,
374,2.775 cm,,
375,2.645 cm,,
376,2.56 cm,,
377,2.76 cm,,
378,2.66 cm,,
379,2.74 cm,,
380,2.66 cm,,
381,2.695 cm,,
382,2.685 cm,,
