Artifact_ID,Artifact_Name,Museum_ID,Gallery_No,Period_Dating,Finding_Place,Dimension_ID,Provenance_Note,Description,Source_Link
11,Varaha (Boar) Avatar,8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,"Vishnu as boar rescuing earth goddess Bhudevi. This relief panel depicts the third avatar of Vishnu. The god has the body of a man and the head of a wild boar. He raises the earth goddess (personified as a small female figure) on his left tusk while trampling the serpent king Shesha. The composition is dynamic, with swirling lines suggesting the cosmic waters. Below, figures of sages and gods witness the event. The iconography follows the Vaishnava canon of the medieval period.",
12,Durga Mahishasuramardini,8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,"Durga slaying buffalo demon, lion vehicle below. This stele depicts the goddess in her most celebrated form. Durga has ten arms holding various weapons given by the gods: trident, discus, sword, bow, arrow, mace, shield, conch, noose, and a drinking cup. Her lion leaps onto the buffalo demon Mahishasura, who emerges from the slain animal’s neck. Durga’s trident pierces the demon’s chest. The relief is filled with energy and dramatic tension, symbolizing the triumph of good over evil.",
13,Kali Fierce Goddess,8,Gallery 6,11th–12th century CE,Bangladesh,,Excavation find,"Kali standing on Shiva, garland of heads, skirt of arms. This fearsome sculpture of the goddess Kali shows her in her cremation ground aspect. She stands on the prone body of her consort Shiva, who lies calmly on a lotus. Kali has four arms: one holds a sword, another a severed head, the lower two make gestures of blessing and reassurance. She wears a garland of fifty human heads and a skirt of severed arms. Her eyes are bulging, and her tongue protrudes. The sculpture is a profound expression of tantric philosophy, where destruction and creation are intertwined.",
14,Ganesha Elephant God,8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,"Ganesha seated with rat vehicle, potbelly, holding axe, noose. This well-preserved sculpture shows Ganesha in a lalitasana (relaxed seated pose) on a lotus pedestal. His vahana (vehicle), a bandicoot rat, is depicted nibbling on a sweet at the base. Ganesha’s four hands hold a broken tusk, a noose (pasha), an axe (parashu), and a bowl of sweets. His trunk curls to the left to reach the sweets. The elephant-headed god is beloved as the remover of obstacles and the lord of beginnings. The carving displays the characteristic softness and fleshiness of Pala art.",
15,Parasurama Avatara,8,History and Classical Art,c. 11th century CE,"Tongibari, Dhaka",4,Excavation find,"Parasurama (Sanskrit: ""Rama with the Axe"") is the sixth of the ten avatars (Dashavatara) of Vishnu, representing the warrior-brahmin who rid the earth of the kshatriya class twenty-one times. This blackstone sculpture, carved in approximately the 11th century CE and discovered at Tongibari, Dhaka, depicts the four-armed god standing in tribhanga — the classical three-bend contrapposto pose of Indian sculpture — on a visvapadma, a fully bloomed lotus pedestal.",
16,Mahamaya,8,History and Classical Art,11th–12th century CE (Sena period),"Kagajipara, Vikrampur, Munshiganj District",,,"The four-armed goddess is depicted seated in padmasana (lotus posture) or vajrasana on a lotus throne, her body frontal and perfectly composed in deep meditation. The two front hands rest joined in her lap in dhyana-mudra — the gesture of meditative absorption, both palms open and resting one upon the other, the universal hand gesture of concentrated inner stillness. This is the central visual statement of the entire sculpture: the supreme goddess, in all her cosmic power, choosing the posture of meditation — of inward withdrawal from the phenomenal world — before the Shiva-linga that rises massively before her. The linga is depicted at a scale that makes it the dominant vertical element of the lower composition — deliberately monumental, establishing Shiva's presence as the object of the goddess's devotion even in his unanthropomorphic, purely symbolic form. The relationship between the meditating goddess and the linga encodes the entire theology of Shaiva-Shakta non-dualism: Shiva and Shakti are inseparable — she is the power by which he acts, he is the consciousness in which she subsists, and her meditation before his linga is simultaneously an act of devotion and a self-recognition. In the upper right hand she holds an akshamala — a rosary of prayer beads — the attribute of continuous japa (silent recitation of the divine name), linking her meditation to the devotional practices of human worshippers below. In the upper left hand she holds a pustaka — a manuscript or book — identifying her simultaneously with divine knowledge (jnana), the preservation of sacred learning, and the goddess Sarasvati's domain of wisdom and speech. This combination of dhyana-mudra, akshamala, and pustaka in a Shaiva goddess image is iconographically unusual and accounts for much of the scholarly debate over identification. The back-slab is elaborately carved in the dense, richly populated Southeast Bengal style, consistent with the Vikramapura school's characteristic treatment of the sculptural field as a complete cosmological assembly. The face — as described by Banglapedia — carries half-closed eyes, beautifully carved eyebrows, and lips invested with a serene and sublime grace hardly matched in any other sculpture of the period. The Sena period's characteristic tendency toward fuller, more sensuous facial modelling — departing from the restrained meditative composure of the earlier Pala school — is here elevated to a standard of refined perfection",
17,Sculpture of Sheikh Mujibur Rahman,8,Modern Gallery,Post-1971,Dhaka,,,,
18,Famine Sketch — Dead Bodies on Riverbank,8,Gallery 7,1943 CE,Calcutta,,Artist: Zainul Abedin,,
19,Famine Sketch — Man Lying Face Down,8,Gallery 7,1943 CE,Calcutta,,Artist: Zainul Abedin,,
20,Rural Bengal — Bullock Cart Scene,8,Gallery 7,c. 1950s–1960s,Rural Bengal,,Artist: Zainul Abedin,,
21,Rural Bengal — Women at Work,8,Gallery 7,c. 1950s–1960s,Rural Bengal,,Artist: Zainul Abedin,,
22,Bengal Landscape — River Scene,8,Gallery 7,c. 1950s–1960s,Bangladesh,,Artist: Zainul Abedin,,
23,GARUDA,8,,11th Century,"Chakhar, Barisal",5,Mr. Enayet Karim,"Garuda, the divine eagle-vehicle (vahana) of Vishnu, is depicted in Indian sculptural tradition as a powerful winged male figure with an eagle's beak and round eyes. His mythology is elaborated in the first book of the Mahabharata: he was the son of the sage Kashyapa by Vinata, daughter of Daksha. Vinata had lost her freedom to Kadru — Kashyapa's other wife and mother of the serpents — in a wager, and was serving as Kadru's slave at the time of Garuda's birth. The serpents promised to free Vinata if Garuda brought them the elixir of immortality (amrita) from heaven. In accomplishing this task Garuda carried an enormous burden through the sky — from which derives his name: guru (heavy) and ura (flying). After a fierce battle with the gods, while returning with the amrita, he encountered Vishnu. Vishnu was so pleased by Garuda's extraordinary self-restraint — that he had not tasted the amrita even when it was within his grasp — that a mutual exchange of boons followed: Garuda received immortality without drinking the amrita and was granted a place above Vishnu on the flagstaff, while Vishnu received him as his eternal mount. Garuda's two other well-known names, Garutmat and Suparna, are found in the Rigveda, and the story of his conquest of the amrita is itself of Vedic origin.",
24,Standing Vishnu Image — Pala Period,8,Gallery 6,9th–10th century CE,Dinajpur/Rangpur,,Excavation find,,
25,Vishnu Anantasayin (Reclining Vishnu),8,Pre-Islamic Art and Sculpture Gallery,10th century CE (Pala period),"Joradeul, Munshiganj",6,,"This sculpture represents Vishnu in a standing posture (samapadasana) upon a lotus pedestal, carved in the characteristic Pala school of art style. Vishnu is adorned with a tall crown and regal ornaments — earrings, necklaces, armlets, and waist-belt — reflecting divine kingship. His four hands hold the traditional attributes: Shankha (conch) — symbol of primordial sound and creation. Chakra (discus) — emblem of cosmic order and destruction of evil. Gada (mace) — representing strength and mental power. Padma (lotus) — signifying purity and spiritual liberation. Flanking Vishnu are his two consorts: Lakshmi, goddess of wealth and beauty, seated on a lotus, and Saraswati, goddess of knowledge and music, also seated on a lotus. The back-slab (chaalchitra) is richly carved with a kirtimukha (lion face) at the top to ward off evil, flying celestial beings (gandharvas) offering praise, and a long garland (vanamala) cascading down Vishnu’s body.",
26,Vishnu Trivikrama (Three-Step Vishnu),8,"Gallery 5,Pre-Islamic Art and Sculpture Gallery",10th century CE (Pala period),"Joradeul, Munshiganj",7,,"This rare sculpture portrays Vishnu in his Vamana (Trivikrama) incarnation, the dwarf who expands to cosmic size to subdue King Bali. Vishnu is shown with one leg raised, symbolizing his cosmic stride across the universe. He holds the mace and discus, emphasizing divine power and cosmic order. The carving style is typical of the Pala dynasty, with elaborate detailing on ornaments, crown, and body posture. The myth behind this form narrates how Vishnu, as the dwarf Brahmin, asked Bali for three steps of land, then expanded to measure earth, heaven, and finally placed his foot on Bali’s head, sending him to the underworld. This sculpture embodies both mythological narrative and artistic mastery, representing Vishnu’s role as preserver of cosmic balance.",
27,Vishnu Narasimha (Man-Lion Avatar),8,Gallery 6,10th century CE,"Sebait Kali Mandir, Vikramapura,Munshiganj",8,"Sri Krishna Kanti, Chakrabarti, Sebait Kali Mandir, Munshiganj",,
28,Akshobhya,8,Gallery 6,10th century CE,Bangladesh,9,"Ujani, Gopalganj",,
29,Shiva Linga with Face,8,Gallery 6,10th–12th century CE,Bangladesh,,,,
30,Umamaheshvara Panel (Shiva and Parvati),8,Gallery 6,10th–11th century CE,Joradeul (Dhaka),,Excavation find,"Maheshvara is either two-or four-armed, Uma is two-armed. Maheshvara’s bull is shown below his right foot, Uma’s lion below her left foot. The10th-11th century image from Joradeul (Dhaka), now in BNM, is an excellent two-armed Maheshvara holding a small flower in the right hand and pressing the left breast of Uma with the left hand. Both the deities are shown inside a cave, perhaps indicating Mount Kailasa, and on top in the middle a meditative Shiva is shown with his bull and other deities. An illustration of trixula intertwined with a snake is at the right side of Shiva.",
31,Shiva as Lakulisa (Yogi Form),8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,,
32,Surya (Sun God) — Pala Period,8,Gallery 6,9th–11th century CE,Bangladesh,,Excavation find,,
33,Mahishasuramardini Durga,8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,,
34,Kali — Fierce Goddess,8,Gallery 6,11th–12th century CE,Bangladesh,,Excavation find,,
35,Ganesha — Elephant-Headed God,8,Gallery 6,10th–12th century CE,Bangladesh,,Narayanpur (Comilla),,
36,Saraswati — Goddess of Learning,8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,"Depicts Saraswati seated on lotus, holding vina and book. A variant of ID 15, this Saraswati has a slightly different arrangement of her arms. The vina is held higher, and her lower right hand is in the vitarka mudra (teaching gesture). The book (pustaka) is shown as a bound manuscript. The pedestal includes not only the swan but also two female attendants playing drums. The background arch is carved with flying celestial beings (vidyadharas) offering garlands. This sculpture is more elaborate than the previous one, suggesting it might have been the main icon of a larger Saraswati temple. The refinements of the carving—the folds of the sari, the curls of hair, the strings of the vina—are exceptionally fine.",
37,Karttikeya (Skanda) — God of War,8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,"Depicts Karttikeya with six heads, riding peacock, holding spear. Karttikeya, also known as Murugan or Skanda, is the son of Shiva and Parvati and the commander of the celestial army. This sculpture shows him with six heads (shadanan), though only three are visible in the relief. He rides a peacock, whose feathers are carved with great detail. His primary hand holds a spear (shakti), the weapon given by his mother Parvati. His other hands hold a cock (his banner) and a vajra-like club. The six heads represent his six aspects and are arranged in a honeycomb pattern. This icon is rare in Bengal because Karttikeya worship was more common in South India. Its presence indicates the spread of pan-Indian Hindu traditions.",
38,Manasa — Snake Goddess Stele,8,Gallery 6,11th–12th century CE,Bangladesh,,Excavation find,"Depicts Manasa seated on lotus with seven-hooded snake canopy. Manasa is the folk goddess of snakes, widely worshipped in Bengal to cure snakebites and ensure fertility. This stele shows Manasa in a rare sculptural form, as most images of her are clay or metal. She sits on a lotus, her two arms holding a snake in each hand. Above her, a seven-hooded cobra spreads its hoods like a canopy. Two female attendants stand on either side, each holding a pot of milk (an offering to snakes). The base includes worshippers offering eggs and milk. This sculpture blends high Hindu iconographic convention with local folk religion, illustrating how Bengal’s art accommodated diverse belief systems.",
39,Chamunda — Fierce Mother Goddess,8,Gallery 6,10th–12th century CE,"Rampal, Munshiganj",,Excavation find,"Depicts Chamunda, emaciated goddess dancing on corpse with skull garland. Chamunda is a form of the goddess Durga/Kali associated with cremation grounds and disease (specifically smallpox). This sculpture shows her as an emaciated old woman with sagging breasts, a sunken belly, and a skeletal face. She dances on a corpse, holding a skull-topped staff (khatvanga) and a noose. Her hair stands on end, and she wears a garland of skulls. Flames emanate from her body. This terrifying form was meant to scare away evil spirits and disease. Worshippers would offer blood sacrifices to appease her. The sculpture is carved with extreme realism, particularly in the depiction of emaciation, making it one of the most unsettling yet artistically powerful pieces in the collection.",
40,Saptamatrka (Seven Mother Goddesses) Panel,8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,"Panel depicting seven mother goddesses flanked by Shiva and Ganesha. The Saptamatrikas are seven mother goddesses who are the shaktis (energies) of major male gods: Brahmi (Brahma), Maheshvari (Shiva), Kaumari (Karttikeya), Vaishnavi (Vishnu), Varahi (Varaha), Indrani (Indra), and Chamunda (Durga). This long frieze shows all seven seated in a row, each with their distinctive attributes and vehicles. On the far left is Ganesha, and on the far right is a fierce form of Shiva called Virabhadra. The panel likely came from the lintel of a temple dedicated to the mother goddesses. Such panels were used for fertility rituals and to protect the community from harm. The carving is in low relief but each figure is distinct.",
41,Lakshmi-Narayana (Vishnu with Lakshmi),8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,"Depicts divine couple Lakshmi and Vishnu seated together. This is the Vaishnava counterpart to the Umamaheshvara panel. Vishnu (Narayana) and his consort Lakshmi sit on a lotus throne. Vishnu has four arms holding his attributes, while Lakshmi has two arms, one holding a lotus and the other resting on Vishnu’s arm. Below them are their respective vehicles: Garuda (the eagle) for Vishnu, and two elephants (representing abundance) for Lakshmi. The composition symbolizes prosperity and preservation. The carving is more rounded and fleshy compared to the Shaiva panel, reflecting the different aesthetic ideals of Vaishnava iconography. The elephants are shown pouring water from pots, a classic motif from the Abhisheka Lakshmi imagery.",
42,Nandi (Shiva’s Bull),8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,"Depicts sacred bull vehicle of Shiva, seated or reclining. This life-size or near-life-size sculpture of Nandi is one of the largest stone animal sculptures in the museum. The bull is shown in a relaxed, seated posture with legs tucked under, head held high, and a hump on the neck. A bell hangs from the neck. The carving emphasizes the animal’s strength and tranquility. Nandi sculptures were placed facing the sanctum in every Shiva temple, serving as the gatekeeper and the devoted listener (it is believed that if you whisper your prayers in Nandi’s ear, he will convey them to Shiva). This particular example has a smooth polish and shows minimal wear, indicating it was housed indoors for centuries.",
43,Dvarapala (Door Guardian),8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,"Depicts armed warrior figure placed at temple entrances. Dvarapalas are fearsome guardian figures placed on either side of temple doors to ward off evil. This sculpture shows a stout, muscular figure wielding a large club (gada). His face is fierce with bulging eyes, flared nostrils, and a mustache. He wears a short dhoti, heavy jewelry, and a crown. One hand is on his hip, the other holds the club. The posture is one of alert readiness. This dvarapala likely formed a pair with a mirror-image counterpart now lost. The carving emphasizes bulging muscles and a sense of raw power. Such guardians were carved from the same black basalt as the main deity and were an integral part of the temple’s iconographic program.",
44,Ganga-Yamuna Figural Bracket,8,Gallery 6,11th–12th century CE,Bangladesh,,Excavation find,"Depicts river goddesses Ganga and Yamuna on mounts crocodile and tortoise. These bracket figures were used as architectural supports under the eaves of temples. The goddess Ganga stands on a crocodile (makara), and the goddess Yamuna stands on a tortoise (kurma). Both hold pots of water and lotus flowers. Their bodies are sensuously carved, with curved hips and elaborate jewelry. The figures are not freestanding but are carved in high relief against a slab that would have been attached to the temple wall. These goddesses are placed at the entrance of temples to purify the worshipper, symbolizing the sacred rivers of North India. Their presence in Bengal temples shows the spread of Ganges-Yamuna imagery from the heartland.",
45,Salabhanjika (Female Figure on Tree),8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,"Depicts female figure grasping tree branch, symbol of fertility. A salabhanjika is a female figure standing under a tree, holding a branch. The pose is highly stylized: the figure bends at the waist, one leg crossed over the other, arms reaching up to a flowering tree. This iconography originated from the ancient belief that women touching tree branches could cause the tree to flower (fertility magic). In temples, such figures were placed on pillars or walls as auspicious symbols. This particular salabhanjika has a playful expression, and the tree is rendered with dense foliage. Her jewelry and textiles are intricately carved. The figure’s nudity above the waist is typical for such auspicious female figures in medieval Indian art.",
46,Gaja-Lakshmi (Gajalakshmi / Lakshmi Flanked by Elephants),8,Gallery 6( History and Classical Art),c. 8th–9th century CE (early Pala period),"Jora Deul site, Rajshahi District, North Bengal",,Excavation find,"Gaja-Lakshmi — gaja meaning elephant and Lakshmi the goddess of prosperity, fortune, and auspiciousness — is one of the oldest and most continuously reproduced sacred images in the entire Indian artistic tradition, appearing first on the railings of the Buddhist stupa at Sanchi (c. 1st century BCE) and persisting unbroken through the Pala period and beyond. The image encodes a precise theological idea: Lakshmi standing or seated at the cosmic centre, flanked symmetrically by two royal elephants who pour water or amrita (immortal nectar) over her head from raised vessels (kalasha) or from their trunks — an act of divine consecration (abhisheka) that simultaneously identifies her as the supreme goddess worthy of royal anointing and as the source of all abundance that flows from that anointing into the world. In this sculpture, the goddess stands gracefully at the centre in a gentle tribhanga pose — the characteristic three-bend stance of classical Indian sculpture — her weight distributed with elegant composure. She holds lotus flowers (padma) in her raised hands, the lotus being her primary attribute and the symbol of purity, divine origin, and inexhaustible fertility. Her face carries the serene, inward-looking expression characteristic of the early Pala school — a subtle smile, half-closed eyes conveying meditative contentment rather than outward engagement, a face of composed divine authority. The ornamentation is carefully executed: a beaded necklace, armlets, a girdle with pendant ornaments, and ankle bangles are rendered with the minute attention to jewellery detail that defines North Bengal Pala carving, though the early Pala style retains a softness and restraint in these ornamental elements compared to the more lavish later 11th–12th century pieces. The two flanking elephants are shown rearing or standing on either side, their trunks raised and curved toward the goddess, each pouring water from a vessel — the abhisheka stream falling over her head in the ancient consecration gesture that confers sovereignty and divine legitimacy. This bilateral symmetry creates the perfectly balanced, stable composition that makes the Gaja-Lakshmi image one of the most visually satisfying in all of Bengal's sculptural tradition. The elephants also carry their own iconographic weight: as symbols of the cardinal directions (dik-gaja), their presence implies that Lakshmi's sovereignty extends to all four corners of the universe.",
47,Shiva-Parvati Riding Nandi,8,Gallery 6,11th–12th century CE,Bangladesh,,Excavation find,"Depicts Shiva and Parvati seated together on bull Nandi. This unusual sculpture shows the divine couple not on a lotus throne but riding their vahana, the bull Nandi. Shiva sits in front, holding a trident and a drum. Parvati sits behind him, her arms around his waist. Nandi is shown walking, with all four legs visible. The composition is more dynamic than the static seated panels, suggesting movement and travel. This might represent the couple’s procession during festivals when temple icons were taken out on chariots. The carving is less formal than other pieces, with a folk-art quality that suggests it might have been made for a smaller, rural temple. The faces are round and cheerful.",
48,Buddha Head — Pala Period,8,Gallery 6,9th–11th century CE,Bangladesh,,Excavation find,"Head of Buddha with serene expression, refined Pala style. This fragment is only the head of a Buddha statue, but it is one of the finest examples of Pala Buddhist sculpture. The Buddha’s face is oval with a calm, downcast gaze (half-closed eyes in meditation). The lips are full and slightly curved in a faint smile. The ears are elongated with empty earlobes (from princely earrings he renounced). The hair is arranged in tight spiral curls ending in a pointed ushnisha (cranial bump). The forehead bears the urna (a dot signifying wisdom). The polish is so fine that the stone feels like soap. This head, though detached from its body, conveys an extraordinary sense of peace and transcendence, reflecting the Buddhist ideal of nirvana.",
49,Buddha in Bhumisparsha-mudra with Sapta-Ratnas,8,History and Classical Art,10th century CE (Pala period),"Ujani, Faridpur District",,,"A black stone 10th-century image of the Buddha seated in bhumisparsha-mudra (earth-touching gesture — the gesture of Shakyamuni at the moment of his enlightenment) on a double-petalled lotus throne. Three branches of the Bodhi tree (Ficus religiosa) are shown rising above the figure, situating the scene at Bodh Gaya, the site of the Buddha's awakening. Two Vidyadharas (divine knowledge-bearers) each carrying a garland hover symmetrically against stylised clouds on either side of the composition — celestial witnesses to the enlightenment. The image draws particular scholarly notice for the exceptional iconographic programme of its pedestal: in front of the pedestal, alongside the double vajra (vishva-vajra — the crossed thunderbolt symbol of indestructible reality), the Seven Jewels (sapta-ratna) of a World-Conquering King (Rajachakravartin) are depicted together with offerings and the figure of the donor. The inclusion of the royal sapta-ratna — the seven precious possessions of a universal monarch: the wheel, elephant, horse, jewel, woman, general, and treasurer — alongside the Bodhi-tree enlightenment scene creates a theologically complex image equating the Buddha's spiritual sovereignty with the temporal sovereignty of the ideal world-ruler.",
50,Buddha in Samadhi-mudra under Mahabodhi Shikhara,8,History and Classical Art,10th century CE (Pala period),"Ujani, Faridpur District",10,,"A large (102 cm high) black basalt image of the Buddha seated in samadhi-mudra — the meditation gesture, hands damaged — under a trefoil arch, above which rises the shikhara (tower) of a temple modelled on the Mahabodhi temple at Bodh Gaya. The Mahabodhi temple shikhara is flanked by standing Vidyadharas and devotees carved in relief, situating the meditating Buddha within the sacred architectural context of the site of his enlightenment. The trefoil arch framing the figure is a compositional device characteristic of the mature Pala period, creating a sanctuary-within-a-sanctuary effect in which the sculpture itself becomes a miniature sacred building. The size of the image — approximately life-scale from the waist upward — indicates it was a major devotional focal point of its original temple context.",
51,Bodhisattva Vajrapani,8,Gallery 6,10th–12th century CE,Bangladesh,,Excavation find,"Depicts Vajrapani holding thunderbolt, protector of Buddha. Vajrapani is the bodhisattva who wields the vajra (thunderbolt) and acts as the guardian of the Buddha. In this sculpture, he is shown in a fierce, athletic pose, standing with legs apart and holding a raised vajra in his right hand. His left hand makes the tarjani mudra (threatening gesture). He wears a garland of snakes, and his hair is on fire (symbolizing his wrathful energy). Unlike the gentle Avalokiteshvara, Vajrapani is muscular and aggressive, representing the power needed to overcome obstacles on the path to enlightenment. Despite his fearsome appearance, he is a bodhisattva, meaning he uses his power not for destruction but for protection of the dharma.",
52,Astamahabhaya-Tara — Tara Rescuing from Eight Great Perils (Inscribed),8,History and Classical Art,10th–12th century CE,"Sompara, Vajrayogini, Munshiganj District",,,"The most celebrated Tara sculpture in the BNM collection and one of the most iconographically complex Tara images known from Bengal. The seated goddess is shown in lalitasana or lalitaksepa — the graceful asymmetric seated posture — two-armed in the standard Tara mode. She is attended by Mahamayuri (""Great Peacock Goddess"") to her right and Ekajata (""She of the Single Topknot"") to her left — a specific attendant pairing distinct from the Khadiravani Tara triad, reflecting the iconographic flexibility and liturgical richness of the Tara cult in late Pala Bengal. What makes this image exceptional is the programme of eight smaller seated Tara figures arranged around the central goddess, each one representing Tara's intervention to rescue a devotee from one of the eight great perils (astamahabhaya): lion, elephant, fire, serpent, robber/enemy, water/flood, imprisonment, and the peril of evil spirits or demons. This iconographic programme — visualising Tara as simultaneously the single central goddess and the eight-fold active rescuer from all of life's great dangers — transforms the sculpture from a single devotional image into a complete miniature cosmological system, making it one of the most theologically sophisticated pieces in the BNM collection. The type is accordingly named Astamahabhaya-Tara — ""Tara of the Eight Great Perils"" — and is documented in the Sadhanamala as a distinct form of the goddess with its own meditation text and ritual. The Sompara, Vajrayogini provenance connects this image to the site that has yielded some of the most important Buddhist sculptures in Southeast Bengal — confirming the Vajrayogini area of Munshiganj as a major centre of advanced Vajrayana practice and its attendant high-quality sculptural production. The presence of an inscription recording the donor's name gives this piece exceptional historical value, as named donor inscriptions on Bengal Buddhist sculptures of this period are rare. Together with the Syama Tara inscription (Kayastha Sri Sanghesa-gupta) described in the previous session, it confirms the pattern of lay Kayastha-class patronage for Tara devotional imagery in the late Pala period. This inscription likely records a similar votive dedication formula, naming a specific individual's commission of this sculpture for the benefit of themselves and their family — a tangible, personal connection between a named human being of the 11th or 12th century and the goddess whose protection they sought.",
